Country,Books,Book1,Author1,Title1,Book2,Author2,Title2,Book3,Author3,Title3
Pakistan,"Mohsin Hamid Moth Smoke; The Reluctant Fundamentalist / Sara Suleri Meatless Days / Bapsi Sidhwa Ice Candy Man; An American Brat; The Pakistani Bride/ Bina Shah A Season for Martyrs; Slum Child / Jamil Ahmad The Wandering Falcon / Daniyal Mueenuddin In Other Rooms, Other Wonders / HM Naqvi Home Boy / Uzma Aslam Khan / Musharraf Ali Farooqi The Story of a Widow; Between Clay and Dust / Ali Sethi The Wish Maker / Kamila Shamsie Kartography; Broken Verses; Burnt Shadows / Mohammed Hanif / Bina Shah A Season for Martyrs",Mohsin Hamid Moth Smoke; The Reluctant Fundamentalist,Mohsin Hamid,Moth Smoke; The Reluctant Fundamentalist,Sara Suleri Meatless Days,Sara Suleri,Meatless Days,Bapsi Sidhwa Ice Candy Man; An American Brat; The Pakistani Brid,Bapsi Sidhwa,Ice Candy Man; An American Brat; The Pakistani Brid
Palau,Susan Kloulechad Spirits’ Tides,Susan Kloulechad Spirits’ Tide,Susan Kloulechad,Spirits’ Tide,None,None,None,None,None,None
Palestinian Territory,"Ibtisam Barakat Tasting the Sky: A Palestinian Childhood / Sahar Khalifeh Wild Thorns / Susan Abulhawa Mornings in Jenin / Mahmoud Shukair Mordechai’s Moustache and his Wife’s Cats, and Other Stories",Ibtisam Barakat Tasting the Sky: A Palestinian Childhood,Ibtisam Barakat,Tasting the Sky: A Palestinian Childhood,Sahar Khalifeh Wild Thorns,Sahar Khalifeh,Wild Thorns,Susan Abulhawa Mornings in Jenin,Susan Abulhawa,Mornings in Jenin
Panama,Juan David Morgan The Golden Horse / Carlos Russell,Juan David Morgan The Golden Horse,Juan David,Morgan The Golden Horse,Carlos Russel,Carlos Russel,,None,None,None
Papua New Guinea,New Guinea Russell Soaba Maiba / Regis Stella Gutsini Posa; Mata Sara / Russell Soaba Maiba / Bernard Narokobi Two Seasons / Vincent Eri The Crocodile / Nash Sorariba / Michael Somare Sana /,New Guinea Russell Soaba Maiba,New Guinea,Russell Soaba Maiba,Regis Stella Gutsini Posa; Mata Sara,Regis Stella,Gutsini Posa; Mata Sara,Russell Soaba Maiba,Russell Soaba,Maiba
Paraguay,"Augusto Roa Bastos I, the Supreme","Augusto Roa Bastos I, the Suprem",Augusto Roa,"Bastos I, the Suprem",None,None,None,None,None,None
Peru,"Mario Vargas Llosa Death in the Andes; Aunt Julia and the Scriptwriter (trans. Ursule Molinaro, Hedwig Rappolt); The Storyteller (trans. Helen Lane) / Jaime Bayly / José María Arguedas / Santiago Roncagliolo",Mario Vargas Llosa Death in the Andes,Mario Vargas,Llosa Death in the Andes,Mario Llosa the City and the Dogs,Mario Vargas Llosa,The City and the Dogs,José María Arguedas,José María,Arguedas
Philippines,Charlson Ong / Joel Toledo / Miguel Syjuco Illustrado / F Sionil José / Jessica Hagedorn Dogeaters / Bino Realuyo The Umbrella Country / Ninotchka Rosca State of War / Azucena Grajo Uranza Bamboo in the Wind / Marivi Soliven The Mango Bride,FSionil José Dusk,F Sionil José,Dusk,Joel Toledo,Gina Apostol,Insurrecto,Miguel Syjuco Illustrado,Miguel Syjuco,Illustrado
Poland,"Stanislaw Lem / Olga Tokarczuk Primeval and Other Times; House of Day, House of Night / Pawel Huelle Cold Sea Tales; Castorp; The Last Supper; Mercedes Benz/ Zygmunt Miloszewski Entanglement; A Grain of Truth/ Witold Gombrowicz Pornografia / Wies?aw My?liwski Stone upon Stone / Magdalena Tulli In Red / Dorota Maslowska Snow White and Russian Red / Marek Krajewski The Eberhard Mock books / Grazyna Plebanek Illegal Liaisons / Antoni Libera Madame / Andrzej Stasiuk On the Road to Babadag; Dukla; Fado; Nine; White Raven / Stefan Chwin Death in Danzig / Michal Witkowski Lovetown / Jacek Hugo-Bader White Fever / Wojciech Jagielski The Night Wanderers / Kazimierz Moczarski Conversations with an Executioner / Wojciech Tochman Like Eating a Stone / Olga Tokarczuk Flights",Stanislaw Lem,Stanislaw Lem,None,"Olga Tokarczuk Primeval and Other Times; House of Day, House of Night",Olga Tokarczuk,"Primeval and Other Times; House of Day, House of Night",Pawel Huelle Cold Sea Tales; Castorp; The Last Supper; Mercedes Ben,Pawel Huelle,Cold Sea Tales; Castorp; The Last Supper; Mercedes Ben
Portugal,Eca de Queiroz The Mandarin and Other Stories / José Saramago Blindness; The Year of the Death of Ricardo Reis; The Gospel According to Jesus Christ / Fernando Pessoa / Pero Vaz de Caminha Carta de Pêro Vaz de Caminha / Agustina Bessa-Luís,Eca de Queiroz The Mandarin and Other Stories,Eca de,Queiroz The Mandarin and Other Stories,José Saramago Blindness; The Year of the Death of Ricardo Reis; The Gospel According to Jesus Christ,José Saramago,Blindness,Fernando Pessoa,Fernando Pessoa,None
Puerto Rico,None,Esmeralda Santiago Conquistadora,Esmeralda Santiago,Conquistadora,None,None,None,None,None,None
Qatar,Mohammed Ali Victory over Abu Derya: The Quest for Pearls in the Arabian Gulf / Abdul Aziz Al Mahmoud The Corsair,Mohammed Ali Victory over Abu Derya: The Quest for Pearls in the Arabian Gulf,Mohammed Ali,Victory over Abu Derya: The Quest for Pearls in the Arabian Gulf,Abdul Aziz Al Mahmoud The Corsai,Abdul Aziz,Al Mahmoud The Corsai,None,None,None
Romania,Herta Müller The Passport / Filip and Matei Florian The Baiut Alley Lads / Mircea Cartarescu / Mircea Eliade / Bogdan Teodorescu Sword,Herta Müller The Passport,Herta Müller,The Passport,Filip and Matei Florian The Baiut Alley Lads,Filip and,Matei Florian The Baiut Alley Lads,Mircea Cartarescu,Mircea Cartarescu,None
Russian Federation,Alina Bronsky The Hottest Dishes of the Tartar Cuisine / Aleksandr Solzhenitsyn One Day in the Life of Ivan Denisovich (trans. Ralph Parker) / Vladimir Sorokin Day of the Oprichnik / Mikhail Lermontov A Hero of Our Time / Mikhail Bulgakov The Master and Margarita (trans. Michael Glenny) / Roman Senchin MINUS / Alan Cherchesov Requiem for the Living /Off the Beaten Tracks: Stories by Russian Hitchhikers / Oleg Zaionchkovski Happiness is Possible / PD Ouspensky Strange Life of Ivan Osokin / Alan Cherchesov Requiem for the Living / Leo Tolstoy Anna Karenina / Guzel Yakhina Zuleikha,Alina Bronsky The Hottest Dishes of the Tartar Cuisine,Fyodor Dostoevsky,Crime and Punishment,Aleksandr Solzhenitsyn One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich,Vladimir Sorokin Day of the Oprichnik,Leo Tolstoy,Anna Karenina
Rwanda,Philip Gourevitch We Wish to Inform You that Tomorrow We Will Be Killed with our Families / Jean Hatzfeld Into the Quick of Life / Barassa Teta / John Rusimbi By the Time She Returned / Gilbert Gatore The Past Ahead / Gaël Faye Small Country,Philip Gourevitch We Wish to Inform You that Tomorrow We Will Be Killed with our Families,Philip Gourevitch,We Wish to Inform You that Tomorrow We Will Be Killed with our Families,Jean Hatzfeld Into the Quick of Life,Jean Hatzfeld,Into the Quick of Life,Barassa Teta,Barassa Teta,None
Saint Kitts And Nevis,Kitts and Nevis Caryl Phillips / Bertram Roach Only God Can Make a Tree,Kitts and Nevis Caryl Phillips,Kitts and,Nevis Caryl Phillips,Bertram Roach Only God Can Make a Tre,Bertram Roach,Only God Can Make a Tre,None,None,None
Saint Lucia,"Lucia Derek Walcott Omeros / Garth St Omer A Room on the Hill; Shades of Grey; Nor Any Country; J-, Black Bam and the Masqueraders / Dr Earl Long Consolation; Voices from a Drum / McDonald Dixon Season of Mist / Michael Aubertin Neg Maron",Lucia Derek Walcott Omeros,Lucia Derek,Walcott Omeros,"Garth StOmer A Room on the Hill; Shades of Grey; Nor Any Country; J-, Black Bam and the Masqueraders",Garth StOmer,"A Room on the Hill; Shades of Grey; Nor Any Country; J-, Black Bam and the Masqueraders",Dr Earl Long Consolation; Voices from a Drum,Dr Earl,Long Consolation; Voices from a Drum
Saint Vincent And The Grenadines,Vincent and the Grenadines H Nigel Thomas Spirits in the Dark; Behind the Face of Winter; Return to Arcadia / George Thomas Ruler in Hairoona / Cecil Browne The Moon is Following Me / Richard Byron-Cox Were Mama’s Tears in Vain? / Marcia King-Gamble / Trish St Hill / Nickie Williams /,H Nigel Thomas Spirits in the Dark,H Nigel,Thomas Spirits in the Dark,George Thomas Ruler in Hairoona,George Thomas,Ruler in Hairoona,Cecil Browne The Moon is Following Me,Cecil Browne,The Moon is Following Me
Samoa,Misa Telefoni Retzlaff Love and Money / Lani Wendt Young Telesa: The Covenant Keeper / Albert Wendt The Adventures of Vela; Sons for the Return Home; Pouliuli / Sia Figiel Where We Once Belonged; The Girl in the Moon Circle; They Who do not Grieve,Misa Telefoni Retzlaff Love and Money,Misa Telefoni,Retzlaff Love and Money,Lani Wendt Young Telesa: The Covenant Keeper,Lani Wendt,Young Telesa: The Covenant Keeper,Albert Wendt The Adventures of Vela; Sons for the Return Home; Pouliuli,Albert Wendt,The Adventures of Vela; Sons for the Return Home; Pouliuli
San Marino,Marino Giuseppe Rossi The Republic of San Marino,Marino Giuseppe Rossi The Republic of San Marin,Marino Giuseppe,Rossi The Republic of San Marin,None,None,None,None,None,None
Sao Tome And Principe,Tome and Principe Olinda Beja The Shepherd’s House,Tome and Principe Olinda Beja The Shepherd’s Hous,Tome and,Principe Olinda Beja The Shepherd’s Hous,None,None,None,None,None,None
Saudi Arabia,Rajaa Al-Sanea Girls of Riyadh / Raja Alem My Thousand and One Nights: A Novel of Mecca / Abdul Rahman Munif Endings; Cities of Salt; The Trench; Variations on Night and Day / ed. Abubaker Bagader Voices of Change / Ghazi Abdul Rahman Al Gosaibi,Rajaa Al-Sanea Girls of Riyadh,Rajaa Al-Sanea,Girls of Riyadh,Raja Alem My Thousand and One Nights: A Novel of Mecca,Raja Alem,My Thousand and One Nights: A Novel of Mecca,Abdul Rahman Munif Endings; Cities of Salt; The Trench; Variations on Night and Day,Abdul Rahman,Munif Endings; Cities of Salt; The Trench; Variations on Night and Day
Senegal,Mariama Bâ So Long a Letter / Ken Bugul Riwan ou Le Chemin de Sable (Riwan or The Path of Sand) / Boubacar Boris Diop Doomi Golo: The Hidden Notebooks,Mariama Bâ So Long a Letter,Mariama Bâ,So Long a Letter,Ken Bugul Riwan ou Le Chemin de Sable (Riwan or The Path of Sand),Ken Bugul,Riwan ou Le Chemin de Sable (Riwan or The Path of Sand),Boubacar Boris Diop Doomi Golo: The Hidden Notebook,Boubacar Boris,Diop Doomi Golo: The Hidden Notebook
Serbia,Milos Crnjanski A Novel About London; Migrations / Danilo Kiš / David Albahari Bait / Milorad Pavic Dictionary of the Khazars / Srdjan Valjarevic Lake Como / Zoran Živkovi?,Milos Crnjanski A Novel About London; Migrations,Milos Crnjanski,A Novel About London; Migrations,Danilo Kiš,Danilo Kiš,None,David Albahari Bait,David Albahari,Bait
Seychelles,Glynn Burridge Voices / William Travis Beyond the Reefs; Shark for Sale,Glynn Burridge Voices,Glynn Burridge,Voices,William Travis Beyond the Reefs; Shark for Sal,William Travis,Beyond the Reefs; Shark for Sal,None,None,None
Sierra Leone,Leone Aminatta Forna The Memory of Love / Ishmael Beah A Long Way Gone,Leone Aminatta Forna The Memory of Love,Leone Aminatta,Forna The Memory of Love,Ishmael Beah A Long Way Gon,Ishmael Beah,A Long Way Gon,None,None,None
Singapore,Su-Chen Christine Lim Fistful of Colours,Su-Chen Christine Lim Fistful of Colour,Su-Chen Christine,Lim Fistful of Colour,None,None,None,None,None,None
Slovakia,Pavol Rankov / Peter Piš?anek Rivers of Babylon / Daniela Kapitánová Samko Tale’s Cemetery Book / Jana Be?ová Seeing People Off,Pavol Rankov,Dominika Dery,The Twelve Little Cakes,Isabel Fonseca,Isabel Fonseca,Bury Me Standing,Daniela Kapitánová Samko Tale’s Cemetery Book,Colum McCann,Zoli
Slovenia,"Slavoj Žižek / Nataša Kramberger Heaven in a Blackberry Bush, a Novel in Stories / Andrej Blatnik You do Understand / Andrej Skubic Fužine Blues / Miha Mazzini The German Lottery / Vladimir Bartol Alamut / Luka Novak The Golden Shower or What Men Want / Vladimir Bartol Alamut",Ciril Kosmac,Ciril Kosmac,A Day in Spring,"Nataša Kramberger Heaven in a Blackberry Bush, a Novel in Stories",Nataša Kramberger,Heaven in a Blackberry Bush,Andrej Blatnik You do Understand,Andrej Blatnik,You do Understand
Somalia,Nuruddin Farah Secrets; Sweet and Sour Milk,Nuruddin Farah Secrets,Nuruddin Farah,Secrets,None,None,None,None,None,None
South Africa,"Gavin Evans Dancing Shoes is Dead / Ingrid Winterbach The Book of Happenstance / Damon Galgut The Quarry / Kgebetli Moele The Book of the Dead / Diane Awerbuck Cabin Fever / Siphiwo Mahala African Delights / Henrietta Rose-Innes Nineveh / Ivan Vladislavic The Loss Library / Nelson Mandela The Long Walk to Freedom / Alan Paton Cry, the Beloved Country / Bryce Courtenay The Power of One / Dalene Matthee Fiela’s Child; Circles in the Forest",Gavin Evans Dancing Shoes is Dead,Gavin Evans,Dancing Shoes is Dead,Ingrid Winterbach The Book of Happenstance,Ingrid Winterbach,The Book of Happenstance,Damon Galgut The Quarry,Damon Galgut,The Quarry
"Korea, Republic of",Hwang Sok-yong The Guest; The Old Garden / Lee Hye-Kyung A House on the Road / Shin Kyung-Sook Please Look After Mom / Han Kang The Vegetarian,Hwang Sok-yong The Guest; The Old Garden,Hwang Sok-yong,The Guest,Han Kang the Vegetarian,Han Kang,The Vegetarian,Shin Kyung-Sook Please Look After Mom,Shin Kyung-Sook,Please Look After Mom
South Sudan,Julia Duany ‘To Forgive is Divine Not Human’,Julia Duany To Forgive is Divine Not Human,Julia Duany,To Forgive is Divine Not Human,Linda Park A long Walk to Water,Linda Sue Park,A Long Walk to Water,None,None,None
Spain,Delibes Five Hours with Mario / Javier Cercas Soldiers of Salamis; The Anatomy of a Moment (trans. Anne McClean) / Alberto Mendez The Blind Sunflowers / Miguel de Cervantes Don Quixote (trans. Edith Grossman) / Carlos Ruiz Zafón The Shadow of the Wind / Enrique Vila-Matas Dublinesque / Juan Goytisolo Exiled from Almost Everywhere / Antonio Muñoz Molina Sefarad / Javier Marías The Infatuations / Juan Marsé The Snares of Memory,Delibes Five Hours with Mario,Delibes Five,Hours with Mario,Javier Cercas Soldiers of Salamis,Javier Cercas,Soldiers of Salamis,Alberto Mendez The Blind Sunflowers,Alberto Mendez,The Blind Sunflowers
Sri Lanka,Lanka Romesh Gunesekera Reef / Carl Muller The Jam Fruit Tree / Shehan Karunatilaka Chinaman / Ru Freeman A Disobedient Girl / Siri Gunasinghe The Shadow / Kathleen Jayawardena Circles of Fire / S Ponnuthurai Ritual / Sunethra Rajakarunanayake Metta / Keerthi Welisarage The Doomed / Martin Wickramasinghe,Lanka Romesh Gunesekera Reef,Lanka Romesh,Gunesekera Reef,Carl Muller The Jam Fruit Tree,Carl Muller,The Jam Fruit Tree,Shehan Karunatilaka Chinaman,Shehan Karunatilaka,Chinaman
Sudan,Amir Tag Elsir The Grub Hunter / Tarek Eltayeb The Palm House / Tayeb Salih Season of Migration to the North / Leila Aboulela Minaret,Amir Tag Elsir The Grub Hunter,Amir Tag,Elsir The Grub Hunter,Tarek Eltayeb The Palm House,Tarek Eltayeb,The Palm House,Tayeb Salih Season of Migration to the North,Tayeb Salih,Season of Migration to the North
Suriname,Cynthia Mcleod The Cost of Sugar; The Free Negress,Cynthia Mcleod The Cost of Sugar; The Free Negres,Cynthia Mcleod,The Cost of Sugar; The Free Negres,Anton de Kom,Anton de Kom,We Slaves of Surinam,None,None,None
Swaziland,Sarah Mkhonza Weeding the Flowerbeds,Sarah Mkhonza Weeding the Flowerbed,Sarah Mkhonza,Weeding the Flowerbed,None,None,None,None,None,None
Sweden,Henning Mankell Chronicler of the Winds / Per Olov Enquist The March of the Musicians (trans. Joan Tate); The Story of Blanche and Marie / Jens Lapidus Easy Money / Karin Altenberg Island of Wings / Jonas Hassen Khemiri Montecore / Hjalmar Soderberg Doctor Glas / Lotta Lotass / Amelie Posse / John Ajvide Lindqvist Let the Right One In / Jonas Jonasson The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared / Lena Andersson Wilful Disregard,Henning Mankell Chronicler of the Winds,Henning Mankell,Chronicler of the Winds,Per Olov Enquist The March of the Musicians (trans. Joan Tate); The Story of Blanche and Marie,Per Olov,Enquist The March of the Musicians (trans. Joan Tate); The Story of Blanche and Marie,Jens Lapidus Easy Money,Jens Lapidus,Easy Money
Switzerland,Friedrich Dürrenmatt The Pledge / Hansjörg Schertenlieb A Happy Man / Gottfried Keller A Village Romeo and Juliet / Annemarie Schwarzenbach / Friedrich Glauser In Matto’s Realm / Peter Bichsel Children’s Stories / Aglaja Veteranyi Why the Child is Cooking in the Polenta / Hugo Loetscher Noah / Gerhard Meier Isle of the Dead / Charles-Ferdinand Ramuz Beauty on Earth,Friedrich Dürrenmatt The Pledge,Friedrich Dürrenmatt,The Pledge,Hansjörg Schertenlieb A Happy Man,Hansjörg Schertenlieb,A Happy Man,Gottfried Keller A Village Romeo and Juliet,Gottfried Keller,A Village Romeo and Juliet
Syrian Arab Republic,Fadi Azzam Sarmada / Zakaria Tamer Breaking Knees / Ghadda Samman / Rafik Schami Damascus Nights / Hassan Bahri / Hanna Mina Sun on a Cloudy Day / Khaled Khalifa In Praise of Hatred,Fadi Azzam Sarmada,Fadi Azzam,Sarmada,Zakaria Tamer Breaking Knees,Zakaria Tamer,Breaking Knees,Khaled Khalifa In Praise of Hatred,Khaled Khalifa,In Praise of Hatred
Taiwan,Su Wei-chen / Pai Hsien-yung Crystal Boys,Wu Ming-Yi The Stolen Bicycle,Wu Ming-Yi,The Stolen Bicycle,Pai Hsien-yung Crystal Boy,Pai Hsien-yung,Crystal Boy,None,None,None
Tajikistan,Andrei Volos Hurramabad / Sadriddin Aini The Sands of Oxus: Boyhood Reminiscences of Sadriddin Aini,Andrei Volos Hurramabad,Andrei Volos,Hurramabad,Sadriddin Aini The Sands of Oxus: Boyhood Reminiscences of Sadriddin Ain,Sadriddin Aini,The Sands of Oxus: Boyhood Reminiscences of Sadriddin Ain,None,None,None
"Tanzania, United Republic of","Muhammed Said Abdulla / Abdulrazak Gurnah Desertion / Edwin Semzaba / Ismael Mbise Blood on Our Land / Agoro Anduru / Adam Shafi / Bethsaida Orphan Girls’ Secondary School Their Voices, Their Stories / Sophia Mustafa Broken Reed / Tengio Urrio The Girl from Uganda / S Ndunguru The Lion of Yola / Ronny Mintjens More Than a Game",Muhammed Said Abdulla,Muhammed Said,Abdulla,Abdulrazak Gurnah Desertion,Abdulrazak Gurnah,Desertion,Edwin Semzaba,Edwin Semzaba,None
Thailand,Chart Korbjitti The Judgement; No Way Out; Time; Mad Dogs & Co / Kukrit Pramoj / Kampoon Boontawee A Child of the Northeast / Saneh Sangsuk The White Shadow: Portrait of the Artist as a Young Rascal,Chart Korbjitti The Judgement,Chart Korbjitti,The Judgement,Kukrit Pramoj,Kukrit Pramoj,Four Reigns,Kampoon Boontawee A Child of the Northeast,Pitchaya Sudbanthad,Bangkok Wakes to Rain
Togo,Jeanette D Ahonsou / Pyabelo Chaold Kouly / Tété-Michel Kpomassie An African in Greenland,Jeanette Ahonsou,Jeanette Ahonsou,None,Pyabelo Chaold Kouly,Pyabelo Chaold,Kouly,Tété-Michel Kpomassie An African in Greenlan,Tété-Michel Kpomassie,An African in Greenlan
Tonga,Joshua Taumoefolau A Providence of War / Epeli Hau’ofa Tales of the Tikongs,Joshua Taumoefolau A Providence of War,Joshua Taumoefolau,A Providence of War,Epeli Hau’ofa Tales of the Tikong,Epeli Hau’ofa,Tales of the Tikong,None,None,None
Trinidad And Tobago,and Tobago VS Naipaul A House for Mr Biswas; In a Free State / Monique Roffey The White Woman on the Green Bicycle / Robert Antoni / Keith Jardim Near Open Water / Earl Lovelace Is Just a Movie / Vahni Capildeo One Scattered Skeleton / Errol John Moon on a Rainbow Shawl,Sam Selvon The Lonely Londoners,Sam Selvon,The Lonely Londoners,Monique Roffey The White Woman on the Green Bicycle,Monique Roffey,The White Woman on the Green Bicycle,Robert Antoni,Robert Antoni,None
Tunisia,Habib Selmi The Scents of Marie-Claire / Abdelwahab Meddeb Talismano / Hassouna Mosbahi A Tunisian Tale / Ali Douagi / Mahmoud Messadi,Habib Selmi The Scents of Marie-Claire,Habib Selmi,The Scents of Marie-Claire,Abdelwahab Meddeb Talismano,Abdelwahab Meddeb,Talismano,Hassouna Mosbahi A Tunisian Tale,Hassouna Mosbahi,A Tunisian Tale
Turkey,Orhan Pamuk Snow / Latife Tekin Dear Shameless Death / Elif Shafak The Forty Rules of Love / Erendiz Atasu The Other Side of the Mountain / Murathan Mungan / Orhan Kemal / Halide Edip Ad?var / Re?at Nuri Güntekin / Refik Halit Karay / Sabahattin Ali / Ya?ar Kemal / Kemal Tahir / Fakir Baykurt / Sait Faik Abas?yan?k / Güneli Gün On the Road to Baghdad / Ahmet Hamdi Tanpinar The Time Regulation Institute / Sema Kaygusuz The Well of Trapped Words / Ahmet Altan Endgame,Orhan Pamuk Snow,Orhan Pamuk,Snow,Latife Tekin Dear Shameless Death,Latife Tekin,Dear Shameless Death,Elif Shafak The Forty Rules of Love,Elif Shafak,The Forty Rules of Love
Turkmenistan,John Kropf Unknown Sands / Ak Welsapar The Tale of Aypi; Cobra,John Kropf Unknown Sands,John Kropf,Unknown Sands,Ak Welsapar The Tale of Aypi,Ak Welsapar,The Tale of Aypi,None,None,None
Uganda,Okot p’Bitek Song of Lawino / Moses Isegawa Abyssinian Chronicles; Snakepit / Doreen Baingan Tropical Fish: Stories Out Of Entebbe / Jennifer Nansubuga Makumbi Kintu / Timothy Wangusa Upon This Mountain / Julius Ocwinyo Fate of the Banished; The Unfulilled Dream; Footprints of the Outsider / Goretti Kyomuhendo The First Daughter; Waiting; Secrets No More / Glaydah Namukasa Voice of Dream,Okot p’Bitek Song of Lawino,Okot p’Bitek,Song of Lawino,Moses Isegawa Abyssinian Chronicles,Moses Isegawa,Abyssinian Chronicles,Doreen Baingan Tropical Fish: Stories Out Of Entebbe,Doreen Baingan,Tropical Fish: Stories Out Of Entebbe
Ukraine,Andrey Kurkov Death and the Penguin / Theodore Odrach Wave of Terror / Nikolai Gogol Evenings on a Farm Near Dikanka,Andrey Kurkov Death and the Penguin,Andrey Kurkov,Death and the Penguin,Theodore Odrach Wave of Terror,Theodore Odrach,Wave of Terror,Nikolai Gogol Evenings on a Farm Near Dikank,Nikolai Gogol,Evenings on a Farm Near Dikank
United Arab Emirates,Qais Sedki Gold Ring / Maha Gargash The Sand Fish / Ameera Al Hakawati Desperate in Dubai / Mohammad Al Murr The Wink of the Mona Lisa; Dubai Tales,Qais Sedki Gold Ring,Qais Sedki,Gold Ring,Maha Gargash The Sand Fish,Maha Gargash,The Sand Fish,Ameera Al Hakawati Desperate in Dubai,Ameera Al,Hakawati Desperate in Dubai
United Kingdom,"Angus MacLellan Stories from South Uist / Christina Hall To the Edge of the Sea / Deborah Levy Swimming Home / Siân Melangell Dafydd Y Trydydd Peth / Vanessa Gebbie / Caryl Lewis Martha, Jack and Shanco / Virginia Woolf / Kazuo Ishiguro The Remains of the Day / JK Rowling / ed. Nikesh Shukla The Good Immigrant",Pride,Jane Austen,Pride and Prejudice,Jane Eyre,Charlotte Bronte,Jane Eyre,Frankenstein,Mary Shelley,Frankenstein
United States,Neil Gaiman American Gods / Sean Murphy The Time of New Weather / Norton Juster The Phantom Tollbooth / Michael Shaara The Killer Angels / Barbara Kingsolver The Poisonwood Bible / Cormac Mccarthy All the Pretty Horses / Eliot Weinberger / Jhumpa Lahiri / Amy Tan / Sandra Cisneros / Tomas Pynchon/ Hunter S Thompson Fear and Loathing in Las Vegas / Harriette Arnow The Dollmaker,F.Scott Fitzgerald The Great Gatsby,Ernest Hemingway,the Old Man and the Sea,Harper Lee To Kill a Mockingbird,Harper Lee,To Kill a Mockingbird,Toni Morrison,Toni Morrison,Beloved
Uruguay,Juan Carlos Onetti The Shipyard; The Pit and Tonight / Felisberto Hernández Lands of Memory / Rafael Courtoisie / Cristina Peri Rossi /Eduardo Galeano / Mario Benedetti / Horacio Quiroga The Decapitated Chicken,Juan Carlos Onetti The Shipyard; The Pit and Tonight,Juan Carlos,Onetti The Shipyard; The Pit and Tonight,Felisberto Hernández Lands of Memory,Felisberto Hernández,Lands of Memory,Rafael Courtoisie,Rafael Courtoisie,None
Uzbekistan,Sabit Madaliev / Hamid Ismailov The Railway / Bibish The Dancer from Khiva: One Muslim Woman’s Quest for Freedom,Sabit Madaliev,Sabit Madaliev,None,Hamid Ismailov The Railway,Hamid Ismailov,The Railway,Bibish The Dancer from Khiva: One Muslim Woman’s Quest for Freedo,Bibish The,Dancer from Khiva: One Muslim Woman’s Quest for Freedo
Vanuatu,Sethy Regenvau Laef Blong Mi: From Village to Nation,Sethy Regenvau Laef Blong Mi: From Village to Natio,Sethy Regenvau,Laef Blong Mi: From Village to Natio,None,None,None,None,None,None
"Venezuela, Bolivarian Republic of",Francisco Suniaga / Alberto Barrera Tyszka The Sickness / Ana Teresa Torres / Romulo Gallegos / Federico Vegas Falke,Francisco Suniaga,Francisco Suniaga,None,Alberto Barrera Tyszka The Sickness,Alberto Barrera,Tyszka The Sickness,Ana Teresa Torres,Ana Teresa,Torres
Viet Nam,"Phan Hon Nhien The Joker; Cold Eyes; Left Wing / Bao Ninh The Sorrow of War (trans. Frank Palmos, Phan Thanh Hao) / Nguyen Nhat Anh / Nguyen Ngoc Thuan Open the Window, Eyes Closed / Duong Thu Huong Paradise of the Blind",Phan Hon Nhien The Joker,Phan Hon,Nhien The Joker,"Bao Ninh The Sorrow of War (trans. Frank Palmos, Phan Thanh Hao)",Bao Ninh,"The Sorrow of War (trans. Frank Palmos, Phan Thanh Hao)",Nguyen Nhat Anh,Nguyen Nhat,Anh
Yemen,Wajdi al-Ahdal A Land without Jasmine / Zayd Mutee’ Dammaj The Hostage,Wajdi al-Ahdal A Land without Jasmine,Wajdi al-Ahdal,A Land without Jasmine,Zayd Dammaj The Hostage,Zayd Dammaj,The Hostage,None,None,None
Zambia,Gaile Parkin Baking Cakes in Kigali / Field Ruwe / Binwell Sinyangwe A Cowrie of Hope,Gaile Parkin Baking Cakes in Kigali,Gaile Parkin,Baking Cakes in Kigali,Field Ruwe,Field Ruwe,None,Binwell Sinyangwe A Cowrie of Hop,Binwell Sinyangwe,A Cowrie of Hop
Zimbabwe,Petinah Gappah An Elegy for Easterly / Tsitsi Dangarembga Nervous Conditions / Brian Chikwava Harare North / Tendai Huchu The Hairdresser of Harare / Shimmer Chinodya Chioniso and Other Stories / Stephen Lungu Out of the Black Shadows / Christopher Mlalazi They are Coming; Running with Mother,Petinah Gappah An Elegy for Easterly,Petinah Gappah,An Elegy for Easterly,Tsitsi Dangarembga Nervous Conditions,Tsitsi Dangarembga,Nervous Conditions,Brian Chikwava Harare North,Brian Chikwava,Harare North
Greenland,Gretel Ehrlich This Cold Heaven,Gretel Ehrlich This Cold Heaven,Gretel Ehrlich,This Cold Heaven,None,None,None,None,None,None
