Country,Books,Book1,Author1,Title1,Book2,Author2,Title2,Book3,Author3,Title3
Central African Republic,Pierre Makombo Bamboté Dada’s Travels from Ouadda to Bangui / ed. Polly Strong African Tales: Folklore of the Central African Republic / Etienne Goyémidé,Pierre Makombo Bamboté Dada’s Travels from Ouadda to Bangui,Makombo Bambote,Daba's Travels from Ouadda to Bangui,Tatiana Carayannis Making Sense of the Central African Republic,Tatiana Carayannis,Making Sense of the Central African Republic,Etienne Goyémid,Etienne Goyémid,None
Chad,Joseph Brahim Seid Told by Starlight in Chad,Joseph Brahim Seid Told by Starlight in Cha,Joseph Brahim,Seid Told by Starlight in Chad,None,None,None,None,None,None
Chile,Roberto Bolano The Savage Detectives / Alejandro Zambra The Private Lives of Trees; Bonsai / Isabel Allende The House of the Spirits (trans. Magda Bodin) / Diamela Eltit / Alberto Fuguet / María Luisa Bombal / Luis Sepúlveda / Antonio Skármeta / Lina Meruane Seeing Red,Roberto Bolano The Savage Detectives,Roberto Bolano,The Savage Detectives,Alejandro Zambra The Private Lives of Trees; Bonsai,Alejandro Zambra,The Private Lives of Trees,Isabel Allende The House of the Spirits (trans. Magda Bodin),Isabel Allende,The House of the Spirits
China,"Zhu Wen I Love Dollars / Jian Rong Wolf Totem / Ma Jian Stick Out Your Tongue; Red Dust/ Cao Xuequin Dream of the Red Chamber / Wu Cheng’en Journey to the West / Zhang Yueran / Chan Koonchung The Fat Years (trans. Michael Duke) / Yan Lianke Dream of Ding Village / Mo Yan The Garlic Ballads; Shifu, You’ll Do Anything for a Laugh / Zhu Wen / Zhang Yueran / Han Dong Banished! / Yan Ge / Xialou Guo Village of Stone / Mian Mian Candy / Wang Shuo Playing for Thrills / Chen Xiwo I Love My Mum / Xu Zechen / Xue Xinran The Good Women of China; China Witness; Message from an Unknown Chinese Mother / Hok-Pang Tang & David Coomler A Time of Ghosts / Huo Da Jade King / Wang Xiaobo / Cao Wenxuan Bronze and Sunflower / Yan Lianke Lenin’s Kisses",Cao Xueqin Dream of the Red Chamber,Cao Xueqin,Dream of the Red Chamber,Mo Yan Red Sorghum,Mo Yan,Red Sorghum,Eileen Chang Love in a Fallen City,Eileen Chang,Love in a Fallen City
Colombia,Evelio Rosero The Armies / Pilar Quintana Tickles in the Tongue / Juan Gabriel Vasquez The Informers / Eduardo Garcia Aguilar Boulevard of Heroes / Fernando Vallejo Our Lady of the Assassins / Hector Abad Faciolince / Laura Restrepo Delirium / Fernando Vallejo / Gabriel García Márquez / James Cañón Tales from the Town of Windows / Leila Cobo,Evelio Rosero The Armies,Evelio Rosero,The Armies,Pilar Quintana Tickles in the Tongue,Pilar Quintana,Tickles in the Tongue,Juan Gabriel Vasquez The Informers,Juan Gabriel,Vasquez The Informers
Comoros,Mohammed Toihiri The Kafir of Karthala / Ali Zamir A Girl Called Eel,Mohammed Toihiri The Kafir of Karthala,Mohammed Toihiri,The Kafir of Karthala,Ali Zamir A Girl Called Ee,Ali Zamir,A Girl Called Ee,None,None,None
Congo,Emmanuel Dongala Johnny Mad Dog; Little Boys Come from the Stars / Sony Lab’ou Tansi The Antipeople / Alain Mabanckou Letter to Jimmy,Emmanuel Dongala Johnny Mad Dog; Little Boys Come from the Stars,Emmanuel Dongala,Johnny Mad Dog; Little Boys Come from the Stars,Sony Labou Tansi The Antipeople,Sony Lab’ou,Tansi The Antipeople,Alain Mabanckou Letter to Jimm,Alain Mabanckou,Letter to Jimm
"Congo, the Democratic Republic of the",,,Frederick Yamusangie,Full Circle,None,None,None,None,None,None
Costa Rica,Anacristina Rossi / Carmen Naranjo / Oscar Nunez Olivas Cadence of the Moon / Anacristina Rossi The Madwoman of Gandoca / ed Barbara Ras Costa Rica: A Traveler’s Literary Companion,Anacristina Rossi,Anacristina Rossi,None,Carmen Naranjo,Carmen Naranjo,,Oscar Nunez Olivas Cadence of the Moon,Oscar Nunez,Olivas Cadence of the Moon
Côte d'Ivoire,Bernard Dadié Climbié / Ahmadou Kourouma Allah is not Obliged,Bernard Dadié Climbié,Bernard Dadié,Climbié,Ahmadou Kourouma Allah is not Oblige,Ahmadou Kourouma,Allah is not Oblige,None,None,None
