Country,Book
Burkina Faso,Burkina Faso Sarah Bouyain / Frédéric Pacéré Titinga / Nobert Zongo The Parachute Drop
Burundi,"Burundi Marie-Therese Toyi Weep Not, Refugee / Roland Rugero Baho!"
Cambodia,Cambodia U Sam Oeur Crossing Three Wildernesses / Alice Pung Unpolished Gem / Vaddey Ratner In the Shadow of the Banyan / Loung Ung / Haing S Ngor / Bree Lafreniere and Daran Kravanh Music Through Dark
Cameroon,Cameroon Mongo Beti La Pauvre Christ de Bomba (The Poor Christ of Bomba); Mission to Kala / Beatrice Fri Bime Mystique: a collection of lake myths
Canada,"Canada Robertson Davies / Nicole Brossard Mauve Desert / Alice Munro / Lauren B Davis Our Daily Bread / Darcie Friesen Hossack Mennonites Don’t Dance / Anne Michaels Fugitive Pieces / Thomas King Green Grass, Running Water / Elizabeth Hay Late Nights on Air / Michael Ondaatje In the Skin of a Lion / Frances Itani Deafening / Joseph Boyden The Three Day Road / Carol Shields / Donna Morrissey / Timothy Findley Not Wanted on the Voyage / Michael Crummey Galore / Anita Rau Baudami Tamarind Mem; The Hero’s Walk / Zoe Whittall Bottle Rocket Hearts"
Cape Verde,Cape Verde Germano Almeida The Last Will & Testament of Senhor da Silva Araújo / Dina Salústio The Madwoman of Serrano
Central African Republic,Central African Republic Pierre Makombo Bamboté Dada’s Travels from Ouadda to Bangui / ed. Polly Strong African Tales: Folklore of the Central African Republic / Etienne Goyémidé
Chad,Chad Joseph Brahim Seid Told by Starlight in Chad
Chile,Chile Roberto Bolano The Savage Detectives / Alejandro Zambra The Private Lives of Trees; Bonsai / Isabel Allende The House of the Spirits (trans. Magda Bodin) / Diamela Eltit / Alberto Fuguet / María Luisa Bombal / Luis Sepúlveda / Antonio Skármeta / Lina Meruane Seeing Red
China,"China Zhu Wen I Love Dollars / Jian Rong Wolf Totem / Ma Jian Stick Out Your Tongue; Red Dust/ Cao Xuequin Dream of the Red Chamber / Wu Cheng’en Journey to the West / Zhang Yueran / Chan Koonchung The Fat Years (trans. Michael Duke) / Yan Lianke Dream of Ding Village / Mo Yan The Garlic Ballads; Shifu, You’ll Do Anything for a Laugh / Zhu Wen / Zhang Yueran / Han Dong Banished! / Yan Ge / Xialou Guo Village of Stone / Mian Mian Candy / Wang Shuo Playing for Thrills / Chen Xiwo I Love My Mum / Xu Zechen / Xue Xinran The Good Women of China; China Witness; Message from an Unknown Chinese Mother / Hok-Pang Tang & David Coomler A Time of Ghosts / Huo Da Jade King / Wang Xiaobo / Cao Wenxuan Bronze and Sunflower / Yan Lianke Lenin’s Kisses"
Colombia,Colombia Evelio Rosero The Armies / Pilar Quintana Tickles in the Tongue / Juan Gabriel Vasquez The Informers / Eduardo Garcia Aguilar Boulevard of Heroes / Fernando Vallejo Our Lady of the Assassins / Hector Abad Faciolince / Laura Restrepo Delirium / Fernando Vallejo / Gabriel García Márquez / James Cañón Tales from the Town of Windows / Leila Cobo
Comoros,Comoros Mohammed Toihiri The Kafir of Karthala / Ali Zamir A Girl Called Eel
,"Congo, Democratic Republic of Amba Bongo /  Frederick Yamusangie Full Circle"
Democratic Republic Of The Congo,"Congo, Republic of Emmanuel Dongala Johnny Mad Dog; Little Boys Come from the Stars / Sony Lab’ou Tansi The Antipeople / Alain Mabanckou Letter to Jimmy"
Costa Rica,Costa Rica Anacristina Rossi / Carmen Naranjo / Oscar Nunez Olivas Cadence of the Moon / Anacristina Rossi The Madwoman of Gandoca / ed Barbara Ras Costa Rica: A Traveler’s Literary Companion
Cote D'ivoire,Côte d’Ivoire Bernard Dadié Climbié / Ahmadou Kourouma Allah is not Obliged
Croatia,Croatia Miroslav Krleža On the Edge of Reason / Dubravka Ugr?sic The Ministry of Pain; In the Jaws of Life / Slavenka Drakulic A Guided Tour through the Museum of Communism / Marija Juri? Zagorka Daughter of the Lotrš?ak; A Stone on the Road; The Witch of Gric / Antun Gustav Matoš / Robert Periši? Our Man in Iraq
Cuba,Cuba Mayra Montero Dancing to Almendra / Ena Lucia Portela One Hundred Bottles / Alejo Carpentier / Reinaldo Arenas / Antonio José Ponte / Leonardo Padura / Reinaldo Arenas / Leonardo Padura Fuentes / Virgilio Piñera / José Lezama Lima / Severo Sarduy /  Guillermo Cabrera Infante / Lydia Cabrera Afro-Cuban Tales / Leonardo Padura The Man Who Loved Dogs
Cyprus,"Cyprus Anna Marangou/Andreas Coutas (trans. Xenia Andreou) Famagusta: the Story of the City / Eve Makis / Christy Lefteri A Watermelon, a Fish and a Bible / Panos Ioannides Gregory and other stories / Elmos Konis Magnette / Nora Nadjarian Ledra Street"
Czech Republic,Czech Republic Bohumil Hrabal Too Loud a Solitude / Hana Demetz The House on Prague Street / Tomáš Zmeškal Love Letter in Cuneiform Script / Josef Škvorecký The Engineer of Human Souls (trans. Paul Wilson) / Jáchym Topol The Devil’s Workshop
Denmark,Denmark Jakob Ejersbo Exile: Book One of the African Trilogy / Morten Ramsland Dog Head / Christian Jungersen The Exception / Louise Bugge Laermann Constanze Mozart / Peter Høeg Smilla’s Sense of Snow
Djibouti,Djibouti Abdourahman Waberi In the United States of Africa; Passage of Tears
Dominica,Dominica Phyllis Shand Allfrey The Orchid House / Elma Napier Black and White Sands / Jean Rhys / Pupils of Atkinson School The Snake King of the Kalinago / Alick Lazare Pharcel / Various Home Again / Christborne Shillingford Most Wanted: street stories from the Caribbean
Dominican Republic,Dominican Republic Juan Bosch / Arambilet Neguri’s Secret / Junot Diaz The Brief Wonderous Life of Oscar Wao / Pedro Mir When they Loved the Communal Land / Julia Alvarez / Rita Indiana Tentacle
East Timor,East Timor Luis Cardoso The Crossing
Ecuador,Ecuador Jorge Icaza Huasipungo 
Egypt,"Egypt Ahdaf Soueif The Map of Love; Cairo: My City, Our Revolution / Sonallah Ibrahim Stealth / Mohamed Mansi Qandil Moon Over Samarqand / Waguih Ghali Beer in the Snooker Club / Naguib Mahfouz Midaq Alley; The Thief and the Dogs; Miramar; The Final Hour/ Alaa Al Aswany The Yacoubian Building / Radwa Ashour / Nawal El Saadawi / May Telmissany Dunyazad / Salwa Bakr / ed. Marilyn Booth My Grandmother’s Cactus / Gamal al-Ghitani Zayni Barakat / Yusef Zeidan Azazil / Radwa Ashour Granada; Spectres / Ibrahim Abdel Meguid No One Sleeps in Alexandria / Bahar Tahir / Muhammad Bisati / Basma Abdel Aziz The Queue"
El Salvador,El Salvador Horacio Castellanos Moya Senselessness
Equatorial Guinea,Equatorial Guinea Juan Tomás Ávila Laurel By Night the Mountain Burns / Donato Ndongo Shadows of your Black Memory / Maria Nsue Angue Ekomo (translation sought) / TrifoniaMelibea Obono La Bastarda
Eritrea,Eritrea Senait Mehari Heart of Fire / Sulaiman Addonia The Consequences of Love / Dawit Gebremichael Habte Gratitude in Low Voices
Estonia,Estonia Jaan Kross Professor Martens’ Departure; Treading Air / Viivi Luik The Beauty of History
Ethiopia,Ethiopia Maaza Mengiste Beneath the Lion’s Gaze / Dinaw Mengestu Children of the Revolution / Abraham Verghese Cutting for Stone
Fiji,Fiji Peter Thomson Kava in the Blood / Epeli Hau’ofa Kisses in the Nederends; Tales of the Tikongs / Mikaele M.K. Yasa Of Baluka and Nibong Palm
Finland,Finland Arto Paasilinna The Year of the Hare / Mika Waltari The Egyptian / Johanna Sinisalo Troll: A Love Story / Sofi Oksanen Purge / Emmi Itäranta Memory of Water / Antti Tuomainen The Man Who Died
France,"France Alain-Fournier The Wanderer / Marie NDiaye Rosie Carpe / Marie Darrieussecq My Phantom Husband / Colette Chéri / Faiza Guene Dreams from the Endz / Raymond Queneau Exercises in Style (trans. Barbara Wright) / Georges Perec Life:a User’s Manual (trans. David Bellos) / Jean-Marie Gustave Le Clezio Wandering Star / Jean Echenoz Lightning / Delphine de Vigan Underground Time / Faïza Guène Just Like Tomorrow / Alexis Jenni The French Art of War / Laurence Cossé A Novel Bookstore / Hélène Grémillon The Confidant / Jérôme Ferrari Where I Left My Soul / Marguerite Yourcenar / Michel Houellebecq / André Schwarz-Bart A Woman Named Solitude (trans. Ralph Manheim) / Abnousse Shalmani Khomeini, Sade and Me / Lydia Salvayre Cry, Mother Spain / Tiphaine Rivière Notes on a Thesis / Bessora/Barroux Alpha: Abidjan to Garde du Nord"
Gabon,Gabon Daniel Mengara Mema
Gambia,The Gambia Dayo Forster Reading the Ceiling / Dembo Fanta Bojang & Sukai Mbye Bojang Folk Tales and Fables from The Gambia 
Georgia,Georgia Sana Krasikov One More Year / ed Elizabeth Heighway Contemporary Georgian Fiction / Cabua Amirejibi Data Tutashkhia / Mikheil Javakhishvili Kvachi / Otar Chiladze A Man Was Going Down the Road / Nino Haratischvili The Eighth Life: (for Brilka)
Germany,Germany Jenny Erpenbeck Visitation; The End of Days / Günter Grass The Tin Drum / Christa Wolf / Heinrich Böll The Lost Honour of Katharina Blum / Emine Sevgi Özdamar Bridge of the Golden Horn / Walter Benjamin Illuminations (trans. Harry Zohn) / Clemens Meyer All the Lights / Christa Wolf Medea / Franz Fühmann / Inka Parei The Shadow-Boxing Girl / Hans Fallada Alone in Berlin / Jurek Becker Jacob the Liar / Herman Hesse Siddhartha / Thomas Mann / Yoko Tawada Memoirs of a Polar Bear
Ghana,Ghana Ayi Kwei Armah The Beautyful Ones Are Not Yet Born / Isaac Neequaye / Ama Ata Aidoo / Jo de Graft Hanson Amanfi’s Gold / Gheysika Adombire Agambila Journey / Various Anansi Stories
Greece,Greece Kostas Hatziantoniou The Black Book of Bile; Agrigento / Margarita Karapanou Kassandra and the Wolf / Panos Karnezis / Nikos Kazantzakis Freedom or Death; The Last Temptation
Grenada,Grenada Tobias Buckell / Merle Collins The Ladies are Upstairs
Guatemala,"Guatemala Miguel Angel Asturias The President / Rodrigo Rey Rosa / Rigoberta Menchú I, Rigoberta Menchú / Augusto Monterroso / Eduardo Halfon The Polish Boxer"
Guinea,Guinea Camara Laye The Radiance of the King; The Guardian of the Word
Guinea-bissau,Guinea-Bissau Amilcar Cabral Unity and Struggle / Abdulai Silá The Ultimate Tragedy
Guyana,Guyana Oonya Kempadoo Buxton Spice
Haiti,Haiti Marvin Victor / Lyonel Trouillot Children of Heroes / Dany Laferriere How to Make Love to a Negro without Getting Tired; I am a Japanese Writer / Louis-Philppe Dalembert / Edwidge Danticat The Farming of the Bones / Franketienne / Gary Klang / Josaphat-Robert Large
Honduras,Honduras Guillermo Yuscaran Points of Light / Ramón Amaya Amador
Hong Kong,
Hungary,Hungary Sándor Márai Embers / Dezs? Kosztolányi Skylark / Zsigmond Móricz Be Faithful Unto Death / Antal Szerb Journey by Moonlight / Péter Esterházy Not Art / Tibor Fischer Under the Frog / Antal Szerb The Pendragon Legend / László Krasznahorkai War and War (trans. George Szirtes) / Ferenc Karinthy Metropole /  Imre Kertész Fatelessness / Albert Wass / Rejt? Jen? / Péter Nádas A Book of Memories; Parallel Stories / Iván Mándy On the Balcony / Ferenc Molnár The Paul Street Boys
Iceland,Iceland Arnaldur Indridason Jar City / Halldór Laxness The Atom Station / Ófeigur Sigurðsson / Gyrðir Eliasson Stone Tree / Auður A Ólafsdóttir The Greenhouse
India,India Suketu Mehta Maximum City / Rohinton Mistry Family Matters; A Fine Balance / Premchand / Rahul Bhattacharya The Sly Company of People who Care / Amitav Ghosh River of Smoke / Tabish Khair The Thing about Thugs / Aman Sathi A Free Man / Sunetra Gupta / Omair Ahmad Jimmy the Terrorist / UR Ananthamurthy Bharathipura / Chandrakanta A Street in Srinagar / Siddharth Chowdhury Day Scholar / Kishwar Desai Witness the Night / Namita Devidayal Aftertaste / Manu Joseph Serious Men / Kavery Nambisan: The Story that Must Not Be Told / Kalpish Ratna The Quarantine Papers / Uppamanyu Chattergee Way to go / Chandrahas Choudhury Arzee the Dwarf / Manju Kapur The Immigrant / Neel Mukherjee The Immigrant / Mani Sankar Mukherji The Middleman / I. Allan Sealy The Trotter Nama / Shashi Warrier / Aniruddha Bahal /  Vikram Chandra /  M T Vasudevan Nair Mist; The Legacy; The Demon Seed; Second Turn; Kaalam / Asha Poorna Devi / Ruskin Bond / Gurcharan Das India Unbound / Mark Tully / Shashi Tharoor The Great Indian Novel / Mahasweta Devi  Imaginary Maps; Bitter Soil; Hajar Churashir Maa / RK Narayan Malgudi Days / Jhaverchand Meghani / Kushwant Singh Train to Pakistan; The Portrait of a Lady / ed Rakesh Khanna The Blaft Anthology of Tamil Pulp Fiction / Shivaji Sawant Mrityunjay / OV Vijayan / Govardhanram Tripathi Saraswatichandra / Satyajit Ray Feluda series / Sunil Gangopadhyay Those Days / Rabindranath Tagore / Sashi Deshpande / Kiran Nagarkar Cuckold; Seven Sixes are Forty-Three / Charu Nivedita Zero Degree / Tarun Tejpal Alchemy of Desire / Manoshi Bhattacharya Chittagong Summer of 1930 / Sankar Chowringhee / Shanta Gokhale Crowfall / Maitreyi Devi Na Hanyate / Aruna Chakrabarti Srikanta / Ruskin Bond / Thakazhi Sivasankara Pillai Chemmeen / Mulk Raj Anand Untouchable / Vikram Seth A Suitable Boy / Vivek Shanbhag Ghachar Ghochar / Geetanjali Shree Mai
Indonesia,Indonesia Yusuf Bilyarta Mangunwijaya (Romo Mangun) Burung-Burung Manyar; Rara Mendut; Durga/Umayi / Ayu Utami / Mochtar Lubis / Pramoedya Ananta Toer This Earth of Mankind / Dewi Lestari Supernova / Agustinus Wibowo Blanket of Dust (translation sought) / Andrea Hirata The Rainbow Troops / Eka Kurniawan Man Tiger
Iran,Iran Akbar Golrang Parpin Flowers /Nasrin Alavi We are Iran / Shahrnush Parsipur Touba and the Meaning of Night / Mahmoud Dowlatabadi The Colonel (trans. Tom Patterdale) / Adnan-Ahmed / Fariba Hachtroudi The Man Who Snapped His Fingers
Iraq,Iraq Samuel Shimon An Iraqi in Paris / Ali Bader The Tobacco Keeper / Hassan Blasim The Madman of Freedom Square / Rodaan Al Galidi Thirsty River / Samira Al-Mana / Wafaa Abed Al Razzaq / A Alwan The Sheikh’s Detective / Fuad al-Takarli The Long Way Back
Ireland,Ireland James Joyce Ulysses / Maria Edgeworth Castle Rackrent / William Trevor / Sebastian Barry The Secret Scripture / Flann O’Brien The Third Policeman; At Swim–Two–Birds
Israel,Israel David Grossman Falling Out of Time; To the End of the Land; Be My Knife / Amos Oz A Tale of Love and Darkness (trans. Nicholas de Lange) / Savyon Liebrecht / AB Yehoshua / Ronit Matalon / Alex Epstein / Aharon Appelfeld Blooms of Darkness  / Sara Shilo The Falafel King is Dead / Etgar Keret / Yehoshua Kenaz / Zeruya Shalev Pain
Italy,Italy Roberto Saviano Zero Zero Zero; Gomorrah /  Leonardo Sciascia The Day of the Owl (trans. Archibald Colquhoun) / Fabio Geda In the Sea there are Crocodiles (trans. Howard Curtis) / Elena Ferrante The Lost Daughter; The Days of Abandonment; My Brilliant Friend / Antonio Tabucchi Pereira Maintains / Diego Marani New Finnish Grammar / Alessandro Baricco Ocean Sea; Mr Gwyn / Giuseppe Tomasi di Lampedusa The Leopard / Alessandro Manzoni / Luigi Pirandello / Primo Levi / Italo Svevo / Dino Buzzati The Tartar Steppe / Elena Varvello Can You Hear Me?
Jamaica,Jamaica Kei Miller / Lindsay Barrett / Margaret Cezair-Thompson The Pirate’s Daughter / Colin Channer / Brian Meeks Paint the Town Red / Patricia Powell / Victor Stafford Reid / Vanessa Spence / Marlon James The Book of Night Women; John Crow’s Devil
Japan,"Japan Haruki Murakami Kafka on the Shore; 1Q84 / Natsume S?seki The Miner; I am a Cat/ Michitsuna no Haha (Michitsuna’s mother) The Kagero Diary (trans. Sonja Arntzen) / Yukio Mishima Death in Midsummer (trans. Seidensticker, Keene, Morris, Sargent) / Hiromi Kawakami Manazuru / Shiba Ryotaro / Yoko Ogawa Hotel Iris / Yoriko Shono / Yumiko Kurahashi / Yoko Tawada / Yasunari Kawabata Snow Country"
Jordan,Jordan Ibrahim Nasrallah Time of White Horses / Abdulrahman Munif Cities of Salt
Kazakstan,"Kazakhstan Rollan Seisenbayev The Day the World Collapsed / Mukhamet Shayakhmetov The Silent Steppe: The Story of a Kazakh Nomad Under Stalin / Nursultan Nazarbayev My Life, My Times and the Future / Ilyas Esenberlin Nomads / Mukhtar Auezov Abai (translation sought)"
Kenya,"Kenya Binyavanga Wainaina One Day I Will Write About This Place / Ng?g? wa Thiong’o A Grain of Wheat; Wizard of the Crow / Philo Ikonya Kenya, Will You Marry Me? / NK Read Children of Saba / Yvonne Adhiambo Owuor Dust"
Kiribati,Kiribati Teweiariki Teaero Waa in Storms
,Kurdistan* Jalal Barzanji The Man in Blue Pyjamas. 
Kuwait,"Kuwait Saif Marzooq al-Shamlan Pearling in the Arabian Gulf / Jehan S Rajab Invasion Kuwait / Haya al-Mughni Women in Kuwait / Danderma The Chronicles of Dathra, a Dowdy Girl from Kuwait"
Kyrgyzstan,Kyrgyzstan Chinghiz Aitmatov Jamilia; The Place of the Skull; Farewell Gul’sary; The Day Lasts More than a Hundred Years; Short Novels; White Steamship; Tales of the Mountains and Steppes; Cranes Fly Early;Time to Speak; Mother Earth and Other Stories
Laos,Laos Outhine Bounyavong Mother’s Beloved
Latvia,Latvia David Bezmozgis The Free World / Agate Nesaule A Woman in Amber / Inga Zolude A Solace for Adam’s Tree / Sandra Kalniete With Dance Shoes in Siberian Snows / Janis Klidzejs The Child of Man (translation sought)
Lebanon,Lebanon Joumana Haddad I Killed Scheherazade  / Elias Khoury Yalo; Gate of the Sun / Hanan al-Shaykh One Thousand and One Nights; The Locust and the Bird / Jabbour Douhaiy June Rain / Alexandra Chreiteh Always Coca-Cola / Iman Humaydan Wild Mulberries / Amin Maalouf Samarkand; Leo the African / Rashid al-Daif Dear Mr Kawabata / Amin al Rihani / Gibran Khalil Gibran / Najwa Barakat Oh Salaam!
Lesotho,Lesotho Thomas Mofolo Chaka / AS Mopeli-Paulus Blanket Boy’s Moon; The World and the Cattle / Morabo Morojele How We Buried Puso / Various Basali! Stories by and about women in Lesotho
Liberia,Liberia Helene Cooper The House at Sugar Beach / Ellen Johnson Sirleaf This Child Will Be Great / Mardia Stone Konkai: Living Between Two Worlds
Libya,Libya Hisham Matar In the Country of Men; Anatomy of a Disappearance / Ibrahim Al-Khoni Anubis: A Desert Novel; Gold Dust; The Animists; The Bleeding of the Stone; The Puppet; The Seven Veils of Seth / Ahmed Fagi Homeless Rats; 30 Short Stories
Liechtenstein,Liechtenstein Iren Nigg / Stefan Sprenger / Heinrich Harrer Seven Years in Tibet / CC Bergius The Noble Forger
Lithuania,"Lithuania Laura Sintija ?erniauskait? / Various No Men, No Cry / Ricardas Gavelis Vilnius Poker / Jonas Mekas / Juozas Baltusis / Andrius Tapinas Hour of the Wolf / Balys Sruoga Forest of the Gods / Antanas Šk?ma The White Shroud / Laimonas Briedis Vilnius: City of Strangers"
Luxembourg,Luxembourg Jean Back Amateur / Robi Gottlieb-Cahen Minute Stories
Macedonia,Macedonia Rumena Bužarovska Scribbles; Wisdom Tooth / Goce Smilevski Sigmund Freud’s Sister; Conversation with Spinoza / Elizabeta Bakovska On the way to Damascus
Madagascar,Madagascar ed. Jacques Bourgeacq and Liliane Ramarosoa Voices from Madagascar / Naivo Beyond the Rice Fields
Malawi,Malawi Samson Kambalu The Jive Talker / Aubrey Kachingwe No Easy Task
Malaysia,Malaysia Shih-Li Kow Ripples and Other Stories / A Samad Said / Adibah Amin This End of The Rainbow / Dina Zaman King of the Sea
Maldives,Maldives Abdullah Sadiq Dhon Hiyala and Ali Fulhu
Mali,Mali Amadou Hampâté Bâ The Strange Destiny of Wangrin / Yambo Ouloguem Bound to Violence
Malta,Malta Immanuel Mifsud Happy Weekend / Pierre Mejlak / Simon Bartolo / Oliver Friggieri / Herbert Ganado My Century / Trevor Zahra / Kilin (Mikiel Spiteri)
Marshall Islands,Marshall Islands Ed Daniel Kelin Marshall Islands Legends and Stories / Marshallese school students (the Unbound Bookmaker Project) The Important Book about Majuro / Jack Niedenthal For the Good of Mankind / Bob Barclay In Melal: A Novel of the Pacific / Dirk R Spennemann Bwebwenatoon etto: a collection of Marshallese legends and traditions
Mauritania,Mauritania Mohamed Bouya Bamba Angels of Mauritania and the Curse of the Language / Mbarek Ould Beyrouk The Desert and the Drum
Mauritius,Mauritius Anand Mulloo Watch Them Go Down / Barlen Pyamootoo Benares 
Mexico,Mexico Juan Pablo Villalobos Down the Rabbit Hole / Octavio Paz The Labyrinth of Solitude (trans. Lysander Kemp) / Laura Esquivel Like Water for Chocolate (trans. Carol Christensen and Thomas Christensen) / Martín Solares The Black Minutes / Carlos Fuentes / Jorge Volpi / Rosario Castellanos / Carmen Boullosa / Mario Bellatín / Elena Garro / Juan Rulfo / Elena Poniatowska / Sergio Pitol / Juan Rulfo Pedro Paramo / Valeria Luiselli Faces in the Crowd / Fernanda Melchor Hurricane Season
Federated States Of Micronesia,"Micronesia, Federated States of Luelen Bernart The Book of Luelen"
Republic Of Moldova,Moldova Ion Drutse Moldavian Autumn; The Story of an Ant / Vladimir Lorchenkov The Good Life Elsewhere
Monaco,Monaco ed. Richard and Danae Projetti Grace Kelly: Princesse du Cinema
Mongolia,Mongolia Galsan Tschinag The Blue Sky
Montenegro,Montenegro Petar II Petrovi?-Njegoš The Mountain Wreath / Andrej Nikolaidis / Xenia Popovich A Lullaby for No Man’s Wolf 
Morocco,Morocco Diss Chraïbi Heirs to the Past; Le Passé Simple (The Simple Past) / Tahar Ben Jelloun The Sacred Night; The Sand Child; This Blinding Absence of Light (trans. Linda Coverdale); A Palace in the Old Village (trans. Linda Coverdale) / Bensalem Himmich The Polymath / Mohammed Achaari The Arch and the Butterfly / Fatima Mernissi / Muhammad Shukri For Bread Alone / Muhammad Barrada The Game of Forgetting 
Mozambique,Mozambique Mia Couto The Sleepwalking Land; Under the Frangipani / Paulina Chiziane Niketche / Ungulani Ba Ka Khosa Ualalapi / Luis Bernardo Honwana We Killed Mangy Dog / Paulina Chiziane The First Wife
Myanmar,Myanmar Cho Tu Zaw / Ma Thida / Nu Nu Yi Inwa Smile as they Bow
